assessment_id,assessment_date_raw,vehicle_id,registration_no,mileage_raw,odometer_reading_raw,last_service_date_raw,source_table,source_record_id,clean_assessment_key,clean_mileage,clean_odometer_reading,alteryx_processed_at,vin,clean_vehicle_key,has_review_required_exception,clean_record_status
CA-001089,2026-04-01,VH-10313,NIP7881,235610,235784,2025-12-10,raw.fleet_condition_assessment_raw,CA-001089,CA-001089,235610,235784,2026-05-29 14:00:10,JEK82FN4M5S4EAP1Z,VH-10313,0,CLEAN
CA-000223,2024-10-15,VH-10313,NIP7881,232668,237826,2023-11-12,raw.fleet_condition_assessment_raw,CA-000223,CA-000223,232668,237826,2026-05-29 14:00:10,JEK82FN4M5S4EAP1Z,VH-10313,0,CLEAN
CA-000758,2025-04-15,VH-10313,NIP7881,234785,234886,2025-02-12,raw.fleet_condition_assessment_raw,CA-000758,CA-000758,234785,234886,2026-05-29 14:00:10,JEK82FN4M5S4EAP1Z,VH-10313,0,CLEAN
CA-000578,2025-12-02,VH-10313,NIP7881,233358,255513,2025-08-15,raw.fleet_condition_assessment_raw,CA-000578,CA-000578,233358,255513,2026-05-29 14:00:10,JEK82FN4M5S4EAP1Z,VH-10313,0,CLEAN
CA-000946,2024-05-04,VH-10313,NIP7881,228458,248614,2024-04-19,raw.fleet_condition_assessment_raw,CA-000946,CA-000946,228458,248614,2026-05-29 14:00:10,JEK82FN4M5S4EAP1Z,VH-10313,0,CLEAN
CA-000023,2024-01-05,VH-10238,YTR0534,191051,205773,2023-09-13,raw.fleet_condition_assessment_raw,CA-000023,CA-000023,191051,205773,2026-05-29 14:00:10,G1BT9JTUAF8N0STZ5,VH-10238,0,CLEAN
CA-001283,2025-04-28,VH-10238,YTR0534,193989,194187,2024-03-11,raw.fleet_condition_assessment_raw,CA-001283,CA-001283,193989,194187,2026-05-29 14:00:10,G1BT9JTUAF8N0STZ5,VH-10238,0,CLEAN
CA-001203,2025-01-18,VH-10238,YTR0534,194049,194028,2024-07-13,raw.fleet_condition_assessment_raw,CA-001203,CA-001203,194049,194028,2026-05-29 14:00:10,G1BT9JTUAF8N0STZ5,VH-10238,0,CLEAN
CA-001252,09/12/2025,VH-10238,YTR0534,195432,205140,2025-08-07,raw.fleet_condition_assessment_raw,CA-001252,CA-001252,195432,205140,2026-05-29 14:00:10,G1BT9JTUAF8N0STZ5,VH-10238,0,CLEAN
CA-000665,2025-06-18,VH-10049,LYU4876,185213,185089,2025-02-28,raw.fleet_condition_assessment_raw,CA-000665,CA-000665,185213,185089,2026-05-29 14:00:10,ZGKPSRFUMZ5HYB2S0,VH-10049,0,CLEAN
CA-001020,2024-03-13,VH-10049,LYU4876,184022,195617,12/31/2023,raw.fleet_condition_assessment_raw,CA-001020,CA-001020,184022,195617,2026-05-29 14:00:10,ZGKPSRFUMZ5HYB2S0,VH-10049,0,CLEAN
CA-000933,2024-11-03,VH-10158,GYE9555,67952,86352,2024-10-26,raw.fleet_condition_assessment_raw,CA-000933,CA-000933,67952,86352,2026-05-29 14:00:10,U6THPW7PAUTD3WYCW,VH-10158,0,CLEAN
CA-000909,2026-02-01,VH-10158,GYE9555,71466,84474,2025-11-14,raw.fleet_condition_assessment_raw,CA-000909,CA-000909,71466,84474,2026-05-29 14:00:10,U6THPW7PAUTD3WYCW,VH-10158,0,CLEAN
CA-000261,2025-07-12,VH-10158,GYE9555,67985,67885,2024-10-21,raw.fleet_condition_assessment_raw,CA-000261,CA-000261,67985,67885,2026-05-29 14:00:10,U6THPW7PAUTD3WYCW,VH-10158,0,CLEAN
CA-001363,2024-08-28,VH-10158,GYE9555,73698,80060,2024-07-15,raw.fleet_condition_assessment_raw,CA-001363,CA-001363,73698,80060,2026-05-29 14:00:10,U6THPW7PAUTD3WYCW,VH-10158,0,CLEAN
CA-000030,2024-12-25,VH-10077,DKC1754,241947,242019,2024-09-08,raw.fleet_condition_assessment_raw,CA-000030,CA-000030,241947,242019,2026-05-29 14:00:10,422MDMHDF0FF5K1DK,VH-10077,0,CLEAN
CA-000615,2025-04-09,VH-10077,DKC1754,236401,243902,2024-02-25,raw.fleet_condition_assessment_raw,CA-000615,CA-000615,236401,243902,2026-05-29 14:00:10,422MDMHDF0FF5K1DK,VH-10077,0,CLEAN
CA-000228,08/29/2024,VH-10077,DKC1754,242234,242266,2024-01-12,raw.fleet_condition_assessment_raw,CA-000228,CA-000228,242234,242266,2026-05-29 14:00:10,422MDMHDF0FF5K1DK,VH-10077,0,CLEAN
CA-001036,11/08/2024,VH-10077,DKC1754,234882,244294,2024-02-20,raw.fleet_condition_assessment_raw,CA-001036,CA-001036,234882,244294,2026-05-29 14:00:10,422MDMHDF0FF5K1DK,VH-10077,0,CLEAN
