fuel_txn_id,transaction_date_raw,registration_no,asset_no,odometer_raw,mpg_raw,source_table,source_record_id,clean_fuel_txn_key,clean_odometer,clean_mpg,alteryx_processed_at,vehicle_id,vin,clean_vehicle_key,has_review_required_exception,clean_record_status
FT-0005905,09/28/2024 01:10,ITD8549,10229,33312,9.49,raw.fuel_transactions_raw,FT-0005905,FT-0005905,33312.00,9.49,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0004089,2025-06-18 11:10:00,ITD8549,10229,28557,3.79,raw.fuel_transactions_raw,FT-0004089,FT-0004089,28557.00,3.79,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0001048,2025-09-05 06:15:00,ITD8549,10229,24191,9.31,raw.fuel_transactions_raw,FT-0001048,FT-0001048,24191.00,9.31,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0004928,2024-04-29 03:10:00,ITD8549,10229,30196,33.58,raw.fuel_transactions_raw,FT-0004928,FT-0004928,30196.00,33.58,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0003309,2024-01-03 08:05:00,ITD8549,10229,26698,5.11,raw.fuel_transactions_raw,FT-0003309,FT-0003309,26698.00,5.11,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0003645,2024-01-01 13:00:00,ITD8549,10229,27640,5.16,raw.fuel_transactions_raw,FT-0003645,FT-0003645,27640.00,5.16,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0007488,2024-06-16 04:15:00,ITD8549,10229,34404,105.83,raw.fuel_transactions_raw,FT-0007488,FT-0007488,34404.00,105.83,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0001837,2025-10-11 02:05:00,ITD8549,10229,25722,26.66,raw.fuel_transactions_raw,FT-0001837,FT-0001837,25722.00,26.66,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0003771,2024-12-02 12:00:00,ITD8549,10229,28418,5.69,raw.fuel_transactions_raw,FT-0003771,FT-0003771,28418.00,5.69,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0000904,2024-07-13 03:20:00,ITD8549,10229,23588,27.95,raw.fuel_transactions_raw,FT-0000904,FT-0000904,23588.00,27.95,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0006684,2024-09-15 03:45:00,ITD8549,10229,33435,2.86,raw.fuel_transactions_raw,FT-0006684,FT-0006684,33435.00,2.86,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0005221,2024-11-20 13:10:00,ITD8549,10229,31015,6.04,raw.fuel_transactions_raw,FT-0005221,FT-0005221,31015.00,6.04,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0001176,2026-02-22 10:05:00,ITD8549,10229,24459,6.16,raw.fuel_transactions_raw,FT-0001176,FT-0001176,24459.00,6.16,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0002496,2025-06-06 14:15:00,ITD8549,10229,26128,5.06,raw.fuel_transactions_raw,FT-0002496,FT-0002496,26128.00,5.06,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0005671,2026-02-26 20:30:00,ITD8549,10229,32846,22.44,raw.fuel_transactions_raw,FT-0005671,FT-0005671,32846.00,22.44,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0007227,2025-10-18 10:15:00,ITD8549,10229,33674,1.46,raw.fuel_transactions_raw,FT-0007227,FT-0007227,33674.00,1.46,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0005422,2025-11-22 19:15:00,ITD8549,10229,32260,7.46,raw.fuel_transactions_raw,FT-0005422,FT-0005422,32260.00,7.46,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0004382,2026-02-15 20:15:00,ITD8549,10229,29456,69.69,raw.fuel_transactions_raw,FT-0004382,FT-0004382,29456.00,69.69,2026-05-29 14:00:10,VH-10229,XTJDVY8C0YH19D8GP,VH-10229,0,CLEAN
FT-0007668,2024-01-20 02:20:00,EFK0811,10008,35774,2.53,raw.fuel_transactions_raw,FT-0007668,FT-0007668,35774.00,2.53,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0000969,2025-10-18 15:10:00,EFK0811,10008,26434,11.75,raw.fuel_transactions_raw,FT-0000969,FT-0000969,26434.00,11.75,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0005182,2024-03-16 03:00:00,EFK0811,10008,31310,13.6,raw.fuel_transactions_raw,FT-0005182,FT-0005182,31310.00,13.60,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0007992,2026-03-16 20:10:00,EFK0811,10008,36419,4.33,raw.fuel_transactions_raw,FT-0007992,FT-0007992,36419.00,4.33,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0007414,2026-03-14 01:00:00,EFK0811,10008,35502,8.55,raw.fuel_transactions_raw,FT-0007414,FT-0007414,35502.00,8.55,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0001387,2026-04-27 14:10:00,EFK0811,10008,27256,11.58,raw.fuel_transactions_raw,FT-0001387,FT-0001387,27256.00,11.58,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0002417,2025-05-09 19:45:00,EFK0811,10008,28460,0.73,raw.fuel_transactions_raw,FT-0002417,FT-0002417,28460.00,0.73,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0005894,2024-01-18 06:30:00,EFK0811,10008,32980,35.6,raw.fuel_transactions_raw,FT-0005894,FT-0005894,32980.00,35.60,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0002193,2024-11-20 04:00:00,EFK0811,10008,28340,30.71,raw.fuel_transactions_raw,FT-0002193,FT-0002193,28340.00,30.71,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0004138,2025-04-21 22:10:00,EFK0811,10008,29678,5.1,raw.fuel_transactions_raw,FT-0004138,FT-0004138,29678.00,5.10,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0003976,2025-03-13 17:10:00,EFK0811,10008,29571,5.81,raw.fuel_transactions_raw,FT-0003976,FT-0003976,29571.00,5.81,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0007799,2024-03-06 03:00:00,EFK0811,10008,35888,0.6,raw.fuel_transactions_raw,FT-0007799,FT-0007799,35888.00,0.60,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0000029,2026-04-02 13:05:00,EFK0811,10008,25636,4.16,raw.fuel_transactions_raw,FT-0000029,FT-0000029,25636.00,4.16,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0006547,2024-12-08 02:15:00,EFK0811,10008,34117,5.88,raw.fuel_transactions_raw,FT-0006547,FT-0006547,34117.00,5.88,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
