unique_work_order_no,create_date_raw,equipment_asset_no,datetime_open_raw,datetime_closed_raw,vendor_id,vendor_name,clean_work_order_key,maintenance_vehicle_key,maintenance_vendor_key,clean_labor_cost,clean_parts_cost,clean_commercial_cost,clean_total_cost,clean_record_status,alteryx_processed_at,source_table,source_record_id,asset_no,vehicle_id,clean_vehicle_key,clean_vendor_key
WO-2026-000689,2026-02-27 19:00:00,10229,2026-03-01 13:00:00,2026-03-09 14:00:00,V2044,GreenCharge EV Supply,WO-2026-000689,10229,V2044,835.73,244.29,0.00,1080.02,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000689,10229,VH-10229,VH-10229,V2044
WO-2024-001335,2025-05-25 08:05:00,10229,2025-05-26 09:05:00,2025-05-30 10:05:00,V2029,Interstate Repair Depot,WO-2024-001335,10229,V2029,1283.27,1620.50,679.11,3582.88,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001335,10229,VH-10229,VH-10229,V2029
WO-2025-001078,2025-05-27 02:15:00,10229,2025-05-29 00:15:00,2025-05-31 19:15:00,V2020,Universal Fleet Solutions,WO-2025-001078,10229,V2020,813.60,2094.53,272.81,3180.94,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001078,10229,VH-10229,VH-10229,V2020
WO-2026-003014,2024-06-02 21:00:00,10229,2024-06-03 05:00:00,2024-06-11 15:00:00,V2006,Superior Body Shop,WO-2026-003014,10229,V2006,2522.28,733.84,0.00,3256.12,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003014,10229,VH-10229,VH-10229,V2006
WO-2024-003435,2024-11-05 20:45:00,10229,2024-11-06 00:45:00,2024-11-10 07:45:00,V2039,Premier Collision Center,WO-2024-003435,10229,V2039,1744.92,1708.26,796.95,4250.13,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003435,10229,VH-10229,VH-10229,V2039
WO-2025-000676,2024-06-29 01:00:00,10229,2024-06-30 10:00:00,2024-07-05 11:00:00,V2006,FleetPro Service Center,WO-2025-000676,10229,V2006,818.14,384.29,140.03,1342.46,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000676,10229,VH-10229,VH-10229,V2006
WO-2025-003577,2024-06-08 01:20:00,10229,2024-06-08 08:20:00,2024-06-11 19:20:00,V2040,Quick Fuel Partners,WO-2025-003577,10229,V2040,1444.00,0.00,56.47,3252.29,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003577,10229,VH-10229,VH-10229,V2040
WO-2025-001213,2024-09-04 03:10:00,10229,2024-09-05 05:10:00,2024-09-12 09:10:00,V2052,FastLane PM Services,WO-2025-001213,10229,V2052,2165.21,495.40,855.30,3515.91,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001213,10229,VH-10229,VH-10229,V2052
WO-2026-000815,2025-03-20 03:30:00,10229,2025-03-21 16:30:00,2025-03-25 19:30:00,V2040,Quick Fuel Partners,WO-2026-000815,10229,V2040,1049.66,828.01,0.00,1877.67,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000815,10229,VH-10229,VH-10229,V2040
WO-2024-002478,2025-06-16 01:05:00,10229,06/16/2025 21:05,2025-06-17 20:05:00,V2052,FastLane PM Services,WO-2024-002478,10229,V2052,1419.89,732.73,935.47,3088.09,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002478,10229,VH-10229,VH-10229,V2052
WO-2024-000864,2025-10-10 23:45:00,10229,2025-10-11 23:45:00,2025-10-24 07:45:00,V2047,Precision Hydraulics,WO-2024-000864,10229,V2047,1752.35,1294.79,838.74,3885.88,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-000864,10229,VH-10229,VH-10229,V2047
WO-2026-001208,2024-10-24 14:30:00,10229,2024-10-25 08:30:00,2024-10-31 06:30:00,V2032,Reliable Truck Service,WO-2026-001208,10229,V2032,414.26,838.07,625.50,1877.83,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001208,10229,VH-10229,VH-10229,V2032
WO-2026-003989,2026-05-01 21:10:00,10008,2026-05-02 18:10:00,2026-05-09 01:10:00,"",Universal Fleet Solutions,WO-2026-003989,10008,"",825.43,487.85,0.00,1313.28,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003989,10008,VH-10008,VH-10008,UNIVERSAL FLEET SOLUTIONS
WO-2025-001543,2026-02-26 13:20:00,10008,02/28/2026 00:20,2026-03-02 17:20:00,V2024,Green Charge,WO-2025-001543,10008,V2024,410.24,266.65,0.00,676.89,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001543,10008,VH-10008,VH-10008,V2024
WO-2024-003810,2026-02-11 18:45:00,10008,2026-02-12 15:45:00,2026-02-19 06:45:00,V2038,"",WO-2024-003810,10008,V2038,2994.85,1428.14,0.00,4422.99,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003810,10008,VH-10008,VH-10008,V2038
WO-2024-001662,2024-09-22 00:05:00,10008,2024-09-23 00:05:00,2024-09-25 22:05:00,V2022,Precision Hydraulics,WO-2024-001662,10008,V2022,2255.09,1955.04,0.00,4210.13,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001662,10008,VH-10008,VH-10008,V2022
WO-2024-002616,2025-03-31 07:15:00,10008,2025-03-31 07:15:00,2025-04-05 10:15:00,V2030,Industrial Equipment Repair,WO-2024-002616,10008,V2030,1762.68,2265.35,148.34,4176.37,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002616,10008,VH-10008,VH-10008,V2030
