asset_no,vehicle_id,vin,registration_no,license_plate_state,make,model,model_year,vehicle_type,department_code,department_name,fleet_group,fuel_type,engine_size,transmission_type,acquisition_date,in_service_date,warranty_expiry_date,current_status,current_odometer,parent_asset_no,assigned_location_code,assigned_location_name,source_system,last_updated_date,clean_vehicle_key,source_table,source_record_id,has_review_required_exception,clean_record_status,alteryx_processed_at
10265,VH-10265,0UGJV3BJAGF8T2W9C,WHW5163,IL,GMC,Sierra,2025,Truck,1002,Field Services,Service,Diesel,Electric,AUTO,2025-04-09,2025-05-12,2029-09-06,Retired,18748,"",IND01,Indianapolis Depot,Fleet_Master,2025-08-07,VH-10265,raw.vehicle_master_raw,10265,0,CLEAN,2026-05-29 14:00:10
10155,VH-10155,3GVN1KP6R3CJ791E0,UHO1449,IN,Toyota,Camry,2018,Sedan,1008,Executive Fleet,Heavy Duty,Electric,5.3L,CVT,2018-04-03,2018-05-31,09/04/2022,Out of Service,97554,"",STL01,St. Louis Fleet Center,AssetHub,2025-04-04,VH-10155,raw.vehicle_master_raw,10155,0,CLEAN,2026-05-29 14:00:10
10292,VH-10292,FCXCELR3ZCMAWLGGT,LSI2474,MI,Freightliner,M2,2013,Heavy Truck,1002,Field Services,Service,Unleaded,"",CVT,2013-01-26,2013-02-21,2015-11-27,Inactive,136074,"",IND01,Indianapolis Depot,AssetHub,2025-03-18,VH-10292,raw.vehicle_master_raw,10292,0,CLEAN,2026-05-29 14:00:10
10139,VH-10139,EXD875DE8P7KRX7YC,QZY4317,IL,Nissan,NV200,2019,Van,1005,Customer Support,Executive,Diesel,"","",2019-06-07,08/02/2019,2022-01-28,Active,136223,"",CHI02,Northside Service Hub,Fleet_Master,2025-05-26,VH-10139,raw.vehicle_master_raw,10139,0,CLEAN,2026-05-29 14:00:10
10105,VH-10105,5VG7GFB2F4YZZE438,UXG4661,"",Freightliner,M2,2025,Heavy Truck,1006,Logistics,Pool,HYBRID,2.0L,Automatic,2025-03-01,2025-04-03,2027-12-22,Active,17180,"",STL01,St. Louis Fleet Center,FleetMaster,2025-10-11,VH-10105,raw.vehicle_master_raw,10105,0,CLEAN,2026-05-29 14:00:10
10322,VH-10322,1TSJCUZCCMPRUWDHD,GFI3754,MO,Ford,Explorer,2012,SUV,1004,Maintenance,Pool,Electric,2.0L,Manual,2012-05-02,2012-05-24,2017-12-03,In Service,257138,"",CHI01,Chicago Central Garage,AssetHub,2025-04-15,VH-10322,raw.vehicle_master_raw,10322,0,CLEAN,2026-05-29 14:00:10
10268,VH-10268,JUHY0NVMZT8F246UM,GMT9687,MO,Nissan,NV200,2023,Van,1005,Customer Support,Light Duty,Dsl,2.0L,"",2023-10-22,2024-01-06,2028-03-05,Inactive,49837,"",STL01,St. Louis Fleet Center,AssetHub,2025-04-29,VH-10268,raw.vehicle_master_raw,10268,0,CLEAN,2026-05-29 14:00:10
10006,VH-10006,7DWU5Y2V0AHV0ADU3,UGP5680,WI,Nissan,NV200,2013,Van,1006,Logistics,Pool,Gasoline,3.5L,"",2013-10-17,2013-12-11,2016-09-17,Out of Service,234874,"",STL01,St. Louis Fleet Center,Fleet_Master,04/26/2026,VH-10006,raw.vehicle_master_raw,10006,0,CLEAN,2026-05-29 14:00:10
10370,VH-10370,XTN2FDT1SPJ6BH69X,BGN1223,IN,Toyota,Camry,2012,Sedan,1005,Customer Support,Heavy Duty,petrol,5.3L,AUTO,2012-03-06,2012-06-04,2015-12-10,Available,271786,"",DET01,Detroit Partner Shop,Fleet_Master,2025-02-12,VH-10370,raw.vehicle_master_raw,10370,0,CLEAN,2026-05-29 14:00:10
10279,VH-10279,R18A2XFCCE8A5CY2A,IDM5162,"",Dodge,Ram 1500,2012,Truck,1001,Operations,Heavy Duty,DIESEL,3.5L,Manual,2012-08-23,2012-11-06,2016-04-02,Retired,120496,"",STL01,St. Louis Fleet Center,FleetMaster,2025-04-04,VH-10279,raw.vehicle_master_raw,10279,0,CLEAN,2026-05-29 14:00:10
10340,VH-10340,58K4YG1GG7ESPALAS,CLY0078,IN,Ford,Transit,2024,Van,1003,Sales,Executive,Diesel,"",Automatic,2024-02-12,2024-04-20,2028-01-05,Out of Service,41272,"",MIL01,Milwaukee Repair Yard,Fleet_Master,2025-01-05,VH-10340,raw.vehicle_master_raw,10340,0,CLEAN,2026-05-29 14:00:10
10354,VH-10354,76BUY4WZRR2YG7H3N,LYN0149,WI,Chevrolet,Silverado,2013,Truck,1002,Field Services,Pool,Electric,3.5L,AUTO,2013-08-24,2013-11-17,2018-03-24,Inactive,194854,"",CHI02,Northside Service Hub,Fleet_Master,2025-09-20,VH-10354,raw.vehicle_master_raw,10354,0,CLEAN,2026-05-29 14:00:10
10267,VH-10267,W78JAN5J6MW4G2A00,AEU7281,WI,Ford,Transit,2022,Van,1005,Customer Support,Light Duty,Gas Hybrid,6.7L,"",2022-06-01,2022-06-15,2026-01-22,Retired,53102,"",DET01,Detroit Partner Shop,Fleet_Master,2026-04-23,VH-10267,raw.vehicle_master_raw,10267,0,CLEAN,2026-05-29 14:00:10
10108,VH-10108,WM1TKR9NL5BAU6J81,HRQ9850,MO,Toyota,Prius,2022,Sedan,1005,Customer Support,Pool,GAS,3.5L,"",2022-07-03,2022-07-30,2028-07-01,Active,68519,"",DET01,Detroit Partner Shop,FleetMaster,2025-08-12,VH-10108,raw.vehicle_master_raw,10108,0,CLEAN,2026-05-29 14:00:10
10166,VH-10166,KY161K1WUEELCNF3B,GBU2244,IL,Toyota,Tacoma,2014,Truck,1004,Maintenance,Light Duty,Gasoline,3.5L,Automatic,2014-04-25,2014-05-07,2018-10-15,Available,120523,"",CHI02,Northside Service Hub,Fleet_Master,03/21/2025,VH-10166,raw.vehicle_master_raw,10166,0,CLEAN,2026-05-29 14:00:10
10335,VH-10335,38MU10KJSMCTLMBXC,ESS4989,WI,Freightliner,M2,2013,Heavy Truck,1006,Logistics,Heavy Duty,ELECTRIC,3.5L,Automatic,2013-11-09,2014-01-11,2019-09-15,Active,216130,"",MIL01,Milwaukee Repair Yard,FleetMaster,2026-04-12,VH-10335,raw.vehicle_master_raw,10335,0,CLEAN,2026-05-29 14:00:10
10083,VH-10083,7UVTAK96RPUYL6TNH,FRS7284,WI,Toyota,Prius,2020,Sedan,1008,Executive Fleet,Pool,Hybrid,2.0L,"",2020-03-04,2020-05-19,2022-09-05,Out of Service,55720,"",MIL01,Milwaukee Repair Yard,Fleet_Master,2025-05-28,VH-10083,raw.vehicle_master_raw,10083,0,CLEAN,2026-05-29 14:00:10
