vendor_id,vendor_name,vendor_legal_name,partner_type,service_category,preferred_vendor_flag,active_flag,address_line_1,city,state,zip_code,phone_number,contact_email,payment_terms,source_system,last_updated_date,clean_vendor_key,source_table,source_record_id,has_review_required_exception,clean_record_status,alteryx_processed_at
V2001,Precision Hydraulics,Precision Hydraulics LLC,Maintenance Vendor,Tires,No,Active,9674 Oak Blvd,Indianapolis,IN,48853,"",service1vendor-example.com,Net 45,VendorHub,2024-06-30,V2001,raw.vendor_master_raw,V2001,0,CLEAN,2026-05-29 14:00:10
V2005,RoadReady Repairs,RoadReady Repairs LLC,Repair Shop,Tires,No,TRUE,663 Lake Ave,St. Louis,WI,48674,555-INVALID,service5vendor-example.com,Net 45,FuelCardPortal,2026-03-02,V2005,raw.vendor_master_raw,V2005,0,CLEAN,2026-05-29 14:00:10
V2032,Reliable Truck Service,Reliable Truck Service Company,Maintenance Vendor,Body Work,Y,TRUE,5933 Oak Rd,Milwaukee,MO,47216,555-INVALID,"","",VendorHub,2025-07-02,V2032,raw.vendor_master_raw,V2032,0,CLEAN,2026-05-29 14:00:10
V2042,Urban Fleet Maintenance,Urban Fleet Maintenance Company,Fuel Supplier,Parts,FALSE,TRUE,860 Lake Blvd,Milwaukee,MO,56767,"","",Net 30,VendorHub,2024-07-27,V2042,raw.vendor_master_raw,V2042,0,CLEAN,2026-05-29 14:00:10
V2027,QuickFuel,Quick Fuel Partners Company,Fuel,Tires,TRUE,FALSE,9909 Lake St,Indianapolis,WI,59508,(828) 542-8555,"",Net 45,FuelCardPortal,2025-05-18,V2027,raw.vendor_master_raw,V2027,0,CLEAN,2026-05-29 14:00:10
V2047,Precision Hydraulics,Precision Hydraulics LLC,"",Towing,No,FALSE,5148 Main St,Gary,IN,54631,"",service47vendor-example.com,Net 30,VendorHub,03/28/2025,V2047,raw.vendor_master_raw,V2047,0,CLEAN,2026-05-29 14:00:10
V2015,GreenCharge,GreenCharge EV Supply Company,Fuel Supplier,Maintenance,FALSE,Inactive,4616 Commerce Blvd,Gary,MI,47912,555-INVALID,"",NET30,VendorHub,2026-01-11,V2015,raw.vendor_master_raw,V2015,0,CLEAN,2026-05-29 14:00:10
V2062,Apex Maintenance Group,Apex Maintenance Group,Maintenance Vendor,Parts,FALSE,N,3205 Oak St,Chicago,WI,55700,"","","",VendorHub,2025-03-04,V2062,raw.vendor_master_raw,V2062,0,CLEAN,2026-05-29 14:00:10
V2070,Premier Collision Center,Premier Collision Center,Repair Shop,Towing,N,Active,7337 Commerce Blvd,Indianapolis,IL,57677,555-INVALID,contact70@vendor-example.com,"",AP_System,2025-11-26,V2070,raw.vendor_master_raw,V2070,0,CLEAN,2026-05-29 14:00:10
V2003,Lakeshore Automotive,Lakeshore Automotive Company,Parts Supplier,EV Charging,TRUE,N,2128 Lake St,Gary,IL,60439,"","","",VendorHub,2025-01-02,V2003,raw.vendor_master_raw,V2003,0,CLEAN,2026-05-29 14:00:10
V2052,FastLane PM Services,FastLane PM Services Inc.,Fuel Supplier,Towing,Yes,Y,4795 Main St,Chicago,MO,47002,(759) 537-6049,service52vendor-example.com,NET30,FuelCardPortal,2025-03-08,V2052,raw.vendor_master_raw,V2052,0,CLEAN,2026-05-29 14:00:10
V2059,Industrial Equipment Repair,Industrial Equipment Repair Inc.,Fuel Supplier,Fuel,Yes,N,8654 Oak Blvd,Milwaukee,IL,56367,(346) 480-7696,"",Due on Receipt,VendorHub,2025-05-13,V2059,raw.vendor_master_raw,V2059,0,CLEAN,2026-05-29 14:00:10
V2039,Premier Collision Center,Premier Collision Center Company,Parts Supplier,Body Work,N,N,3940 Lake Ave,Chicago,WI,47763,"",service39vendor-example.com,Due on Receipt,FuelCardPortal,2025-01-01,V2039,raw.vendor_master_raw,V2039,0,CLEAN,2026-05-29 14:00:10
V2037,Central Parts Warehouse,Central Parts Warehouse LLC,Maintenance Vendor,Maintenance,TRUE,TRUE,7091 Lake Rd,Indianapolis,WI,47999,(371) 991-6687,"","",FuelCardPortal,2026-04-24,V2037,raw.vendor_master_raw,V2037,0,CLEAN,2026-05-29 14:00:10
V2035,Premier Collision Center,Premier Collision Center Company,"",Fuel,No,TRUE,5731 Industrial St,Detroit,WI,57396,555-INVALID,"",NET30,FuelCardPortal,2024-05-29,V2035,raw.vendor_master_raw,V2035,0,CLEAN,2026-05-29 14:00:10
V2044,Green Charge,GreenCharge EV Supply,Repair Shop,Maintenance,FALSE,N,1000 Lake Rd,Detroit,IL,57249,(432) 523-9009,contact44@vendor-example.com,Due on Receipt,FuelCardPortal,2025-11-27,V2044,raw.vendor_master_raw,V2044,0,CLEAN,2026-05-29 14:00:10
V2060,Midwest Diesel Service,Midwest Diesel Service,"",Tires,TRUE,TRUE,7409 Oak Ave,Gary,MI,54130,(963) 702-3528,service60vendor-example.com,"",VendorHub,2026-01-07,V2060,raw.vendor_master_raw,V2060,0,CLEAN,2026-05-29 14:00:10
V2017,Partner Mobile Mechanics,Partner Mobile Mechanics,Fuel,Tires,No,N,4326 Commerce Blvd,Milwaukee,MI,47581,555-INVALID,service17vendor-example.com,NET30,VendorHub,2024-08-26,V2017,raw.vendor_master_raw,V2017,0,CLEAN,2026-05-29 14:00:10
V2023,Budget Auto Care,Budget Auto Care LLC,"",Tires,Yes,Active,2677 Lake Rd,Milwaukee,MO,50773,555-INVALID,service23vendor-example.com,Net 45,FuelCardPortal,2024-12-30,V2023,raw.vendor_master_raw,V2023,0,CLEAN,2026-05-29 14:00:10
V2069,FleetPro Service Center,FleetPro Service Center Company,Maintenance Vendor,Tires,Y,FALSE,2097 Commerce St,Indianapolis,MI,59834,555-INVALID,"",NET30,AP_System,2024-11-01,V2069,raw.vendor_master_raw,V2069,0,CLEAN,2026-05-29 14:00:10
V2031,Universal Fleet Solutions,Universal Fleet Solutions LLC,Fuel Supplier,EV Charging,No,TRUE,1890 Commerce Ave,St. Louis,IN,46792,555-INVALID,service31vendor-example.com,"",VendorHub,2025-01-28,V2031,raw.vendor_master_raw,V2031,0,CLEAN,2026-05-29 14:00:10
V2065,RoadReady Repairs,RoadReady Repairs LLC,Fuel,EV Charging,Y,Inactive,4926 Oak Blvd,Milwaukee,IL,50914,"",service65vendor-example.com,Due on Receipt,AP_System,08/21/2025,V2065,raw.vendor_master_raw,V2065,0,CLEAN,2026-05-29 14:00:10
V2056,Precision Hydraulics,Precision Hydraulics LLC,"",Parts,FALSE,N,5830 Commerce Blvd,Chicago,IL,48065,(801) 282-2032,service56vendor-example.com,Net 45,VendorHub,2026-03-09,V2056,raw.vendor_master_raw,V2056,0,CLEAN,2026-05-29 14:00:10
V2033,Precision Hydraulics,Precision Hydraulics Company,Repair Shop,Maintenance,Yes,N,6711 Commerce St,Milwaukee,MI,59917,"",service33vendor-example.com,Net 45,VendorHub,2024-01-17,V2033,raw.vendor_master_raw,V2033,0,CLEAN,2026-05-29 14:00:10
V2002,Quick Fuel Partners,Quick Fuel Partners Inc.,repair,EV Charging,"",FALSE,9339 Lake Rd,Milwaukee,MI,56681,"",service2vendor-example.com,Net 30,FuelCardPortal,2024-11-20,V2002,raw.vendor_master_raw,V2002,0,CLEAN,2026-05-29 14:00:10
V2058,North Star Garage,North Star Garage,Fuel Supplier,Parts,"",FALSE,3968 Commerce Ave,Milwaukee,IN,46760,555-INVALID,"","",VendorHub,2024-06-02,V2058,raw.vendor_master_raw,V2058,0,CLEAN,2026-05-29 14:00:10
