assessment_id,assessment_date,vehicle_id,registration_no,Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,source_system
CA-000001,2025-09-28,VH-10390,GIY7305,M2,36296,Poor,3,4,Diesel,AUTO,Electric,60085,2025-01-10,2027-08-03,,4032,0,2,30.47,GOOD,New,Weak,1,InspectionApp
CA-000002,2024-09-14,VH-10266,TYG7961,Van,12939,Poor,0,1,Electric,,3.5L,12845,2024-08-11,2028-05-26,Pool,2977,16,0,47.21,Poor,Good,WEAK,0,InspectionApp
CA-000003,07/19/2024,VH-10254,FUG7006,Dodge Ram 1500,187987,Average,1,10,Electric,Automatic,2.0L,212740,2023-09-01,2019-08-21,Second,1433,8,1,34.26,Poor,GOOD,Good,0,ConditionPortal
CA-000004,2024-06-09,VH-10295,SWR3765,Ram 1500,86956,Average,1,11,Hybrid,AUTO,3.5L,86705,2023-11-20,2018-01-30,Leased,2171,17,0,51.93,Poor,Worn,Replace,0,MaintenanceRiskModel
CA-000005,2024-05-17,VH-10404,FUA3249,Dodge Ram 1500,32592,Good,0,2,DIESEL,,2000,40153,2024-04-17,2027-02-09,Leased,1996,4,1,19.33,GOOD,New,WEAK,1,MaintenanceRiskModel
CA-000006,2025-08-06,VH-10224,AVX9507,Van,83103,Good,0,6,EV,Automatic,,100562,2025-01-31,2024-07-16,Pool,1024,18,0,28.6,Good,Needs Service,Good,0,InspectionApp
CA-000007,2024-11-19,VH-10417,LHN8465,Freightliner M2,162083,GOOD,1,10,Gas,Automatic,2.5L,185183,2024-01-19,2019-05-23,Leased,909,17,0,14.77,GOOD,GOOD,Weak,0,ConditionPortal
CA-000008,2025-12-14,VH-10140,RPT7293,Chevrolet Express,7149,Good,1,1,Hybrid,,2000,13627,2025-09-28,2028-01-24,Second,838,16,2,35.84,GOOD,GOOD,Good,1,ConditionPortal
CA-000009,2024-06-18,VH-10107,HLE4138,International MV607,109648,Poor,1,9,Diesel,,2500,131801,2023-10-05,2022-02-23,Pool,1757,1,3,34.83,Good,Poor,Replace,0,MaintenanceRiskModel
CA-000010,2025-08-24,,NJE2207,Truck,54919,Good,1,3,Electric,AUTO,Electric,70996,2025-01-16,2026-11-18,,1480,9,2,44.18,Worn,New,WEAK,0,InspectionApp
CA-000011,2026-02-06,VH-10362,CPS3067,Honda Civic,158681,Unknown,2,12,ELECTRIC,Automatic,Electric,158477,2026-01-20,2020-02-08,Second,3843,20,1,53.29,Worn Out,GOOD,New,1,MaintenanceRiskModel
CA-000012,2025-12-02,VH-10061,UPO6972,Freightliner M2,288201,Average,3,14,DIESEL,Manual,,287933,2025-02-11,2017-03-02,,3169,4,0,26.96,Good,New,Unknown,1,InspectionApp
CA-000013,2024-01-07,VH-10324,VPP3552,Chevrolet Silverado,187589,Unknown,1,12,DIESEL,Automatic,Electric,209029,2023-08-17,2020-03-16,Pool,3994,9,0,50.92,GOOD,Poor,New,0,ConditionPortal
CA-000014,01/28/2025,VH-10329,AXN5145,Toyota Tacoma,63300,Average,1,3,petrol,AUTO,2000,75327,2024-03-12,2027-07-16,Pool,1622,0,1,30.94,Poor,Needs Service,Weak,1,ConditionPortal
CA-000015,2025-06-29,VH-10414,BKN4877,Nissan NV200,116520,Poor,3,10,petrol,AUTO,3.5L,122005,2024-07-15,2020-08-18,,4476,17,3,15.86,New,Good,Good,0,MaintenanceRiskModel
CA-000016,2024-05-04,VH-10290,JPA5858,Chevrolet Express,46164,Unknown,0,3,Gas,CVT,Electric,46089,2023-12-11,2027-03-31,Pool,3628,16,1,14.44,Poor,Needs Service,Unknown,1,MaintenanceRiskModel
CA-000017,2024-07-06,VH-10260,FNN5312,Civic,17200,GOOD,1,2,Gas,Automatic,6.7L,32316,2023-10-18,12/10/2029,,2945,18,0,8.28,Poor,Poor,Unknown,1,MaintenanceRiskModel
CA-000018,2025-09-28,VH-10162,BRE6768,Prius,117181,Poor,3,12,Gas,AUTO,2.0L,136374,2025-11-14,2026-03-22,Second,2424,6,3,17.18,Poor,Needs Service,WEAK,1,InspectionApp
CA-000019,2024-06-17,VH-10058,NTW1008,Express,135372,Average,2,8,HYBRID,AUTO,2.0L,135618,2024-03-30,2023-09-29,,2170,11,0,11.52,Poor,Good,Unknown,0,InspectionApp
CA-000020,2025-04-19,VH-10050,VGF5714,Truck,226630,Average,1,14,Gas Hybrid,Automatic,,243432,2024-04-24,2017-08-18,Company,1767,10,3,14.43,Worn Out,Poor,Unknown,1,InspectionApp
CA-000021,2025-09-13,,NSE2461,Dodge Ram 1500,62063,Unknown,3,6,Electric,Manual,6.7L,62231,2024-12-17,2023-03-07,Pool,975,10,0,28.29,Worn,Good,WEAK,1,ConditionPortal
CA-000022,2025-08-31,VH-10282,IQB9979,Chevrolet Silverado,151081,Unknown,0,8,EV,,Electric,169089,2024-11-20,2021-08-12,Leased,2625,7,0,50.03,New,Worn,New,0,ConditionPortal
CA-000023,2024-01-05,VH-10238,YTR0534,Ram 1500,191051,GOOD,2,11,DIESEL,,Electric,205773,2023-09-13,05/23/2018,,4040,5,2,19.06,Worn Out,New,Good,0,MaintenanceRiskModel
CA-000024,2025-07-19,VH-X9532,RPV1230,Silverado,88219,Poor,,10,DIESEL,,2000,88451,2024-09-12,2020-06-16,,3909,20,1,33.21,Poor,Good,Replace,1,ConditionPortal
CA-000025,2025-07-09,VH-10178,ZGW3455,M2,187501,Poor,0,12,Gas,,Electric,187751,2025-01-07,2017-06-07,Leased,3954,17,0,38.61,Poor,New,Replace,0,MaintenanceRiskModel
CA-000026,2024-07-05,VH-10368,ECP4241,Truck,17996,Poor,0,1,Diesel,AUTO,,17792,2024-01-09,2028-12-02,Second,2695,18,3,12.95,Worn,Good,Replace,1,MaintenanceRiskModel
CA-000027,11/12/2025,VH-10161,DQI5787,M2,88176,GOOD,3,8,Gas Hybrid,Manual,Electric,88357,2025-07-30,04/05/2021,Pool,1934,14,2,43.9,Worn Out,Good,New,1,ConditionPortal
CA-000028,2024-05-22,VH-10072,LPF4162,F-150,235226,Unknown,0,11,Electric,Automatic,1.8L,235204,2024-04-20,2018-06-21,Company,4244,17,2,53.46,Good,New,Unknown,0,MaintenanceRiskModel
CA-000029,2025-11-27,VH-10030,UXH0319,Freightliner M2,39416,Average,2,2,Diesel,Manual,2500,61270,06/04/2025,2028-02-18,Second,3897,13,1,40.11,Worn,Poor,Good,1,ConditionPortal
CA-000030,2024-12-25,VH-10077,DKC1754,Transit,241947,GOOD,1,11,Gas,Automatic,Electric,242019,2024-09-08,2024-12-31,Leased,1599,4,0,13.95,Worn,Good,New,0,ConditionPortal
CA-000031,2025-09-28,VH-10262,EIR9531,Heavy Truck,106809,Good,0,5,DIESEL,,2500,113928,2024-10-10,2025-06-17,Second,3791,18,0,9.08,Worn Out,New,Weak,1,InspectionApp
CA-000032,2026-01-13,VH-10119,ZQF8751,Toyota Prius,260161,Good,0,14,Electric,Automatic,Electric,266716,2025-02-20,2016-04-05,Leased,2937,18,0,28.92,Good,Worn,Replace,1,MaintenanceRiskModel
CA-000033,2025-04-09,VH-10229,ITD8549,SUV,15986,Unknown,0,1,Electric,Automatic,,16085,2024-08-14,12/25/2029,Second,2317,12,3,40.86,Poor,Good,WEAK,1,InspectionApp
CA-000034,2025-04-15,VH-10391,SFP3482,Express,192883,Average,1,11,Gas,Manual,3.5L,192622,2024-10-13,2018-07-25,Pool,4007,11,0,32.04,Worn Out,Poor,Unknown,1,InspectionApp
CA-000035,2025-11-07,VH-10237,JXH0864,Honda Civic,62362,GOOD,3,6,Diesel,Automatic,3.5L,72801,2024-11-28,2024-04-12,,3345,9,0,54.4,GOOD,Worn,Weak,0,InspectionApp
CA-000036,2024-10-21,VH-10256,AZP6990,NV200,4415,Average,1,12,HYBRID,AUTO,Electric,18778,2024-09-28,2017-12-09,Leased,4103,18,0,45.59,Poor,Worn,WEAK,0,MaintenanceRiskModel
CA-000037,2024-10-30,VH-10399,QWJ6840,Sedan,47261,GOOD,2,4,Hybrid,Automatic,2.0L,47506,2024-10-06,2025-09-02,,3869,16,1,23.25,New,New,Replace,0,InspectionApp
CA-000038,2025-08-22,VH-10014,XSN2561,Heavy Truck,41008,Average,3,2,Diesel,AUTO,,57108,2025-03-28,12/18/2029,Pool,3669,18,2,42.43,New,Needs Service,Weak,0,MaintenanceRiskModel
CA-000039,2025-10-18,VH-10414,BKN4877,Nissan NV200,118405,Unknown,2,10,DIESEL,CVT,Electric,128814,2025-09-20,2020-08-18,Leased,3646,2,0,20.48,Worn Out,New,Replace,0,ConditionPortal
CA-000040,2025-11-10,VH-10212,FZQ7173,Ford Transit,11146,Average,0,1,Electric,,3.5L,26591,2025-02-23,2030-06-28,Leased,1985,13,3,53.72,GOOD,Poor,New,0,MaintenanceRiskModel
CA-000041,2024-06-12,VH-10240,PHR2203,Transit,50735,GOOD,2,4,Hybrid,,2000,70020,2024-04-15,2027-08-08,Pool,1193,5,0,54.06,Worn Out,Worn,WEAK,0,MaintenanceRiskModel
CA-000042,2025-09-22,VH-10088,HOV5056,Freightliner M2,135758,Good,1,14,petrol,,,135622,2024-12-13,2015-08-17,,1291,3,0,38.06,Worn,Poor,Replace,0,ConditionPortal
CA-000043,2024-06-05,VH-10180,HBI7561,Truck,110283,Average,2,9,DIESEL,AUTO,,121761,2023-12-23,2020-10-24,,1958,11,1,31.34,Worn Out,Good,Weak,1,MaintenanceRiskModel
CA-000044,2024-12-17,VH-10290,JPA5858,Van,45985,Good,,3,Gas,AUTO,Electric,45770,2024-02-03,2027-03-31,,1077,11,0,8.21,Good,GOOD,Unknown,1,InspectionApp
CA-000045,2025-02-10,VH-10355,MSW8083,Tacoma,82347,Good,1,8,Gas,Manual,,82552,08/21/2024,2023-10-05,Company,2086,20,1,22.57,Worn,Worn,WEAK,1,InspectionApp
CA-000046,2026-03-22,VH-10016,XJK6295,MV607,112758,Good,0,6,Hybrid,Automatic,2500,132141,2026-02-01,2026-02-03,Company,4457,11,0,40.13,Worn,New,New,1,InspectionApp
CA-000047,2024-01-10,VH-10028,NCW3340,F-150,34909,GOOD,,4,EV,,2500,46269,2023-08-07,2025-07-19,Pool,3090,9,3,39.3,Worn,Needs Service,Replace,1,MaintenanceRiskModel
CA-000048,07/20/2025,VH-10014,XSN2561,MV607,39627,Average,0,2,Electric,,2000,39472,2024-12-02,2029-12-18,,3475,4,0,37.23,GOOD,Poor,New,1,MaintenanceRiskModel
CA-000049,2025-06-24,VH-10271,XHH0395,Van,168503,Good,3,12,Gas,AUTO,,168298,2024-05-06,2026-01-18,Pool,2261,6,0,8.14,GOOD,Worn,Weak,1,ConditionPortal
CA-000050,2024-11-12,VH-10305,BZM2610,Ram 1500,72091,Average,0,7,Gas,AUTO,2500,72050,2024-05-08,2022-12-05,Second,1438,11,1,48.29,GOOD,Good,Weak,1,InspectionApp
CA-000051,2026-02-20,VH-10078,LPP9274,Chevrolet Express,212230,Average,,10,Electric,AUTO,2500,212106,2025-11-18,05/27/2021,Second,4144,8,1,39.54,New,Worn,Replace,0,InspectionApp
CA-000052,2024-06-14,VH-10052,ZXN1029,Toyota Tacoma,63465,Poor,3,4,EV,,,63582,2023-09-29,09/30/2027,Company,2561,10,0,47.76,Worn,Worn,Weak,0,InspectionApp
CA-000053,2025-10-14,VH-10105,UXG4661,Freightliner M2,13353,GOOD,2,1,Hybrid,Automatic,Electric,35900,2025-04-04,12/22/2027,Pool,3723,0,0,15.79,Good,Good,Good,0,MaintenanceRiskModel
CA-000054,2024-03-23,VH-10298,XWM3468,Truck,85117,Unknown,2,4,Electric,CVT,2500,98354,06/16/2024,02/01/2026,Second,1358,7,1,14.17,Poor,Good,Unknown,1,InspectionApp
CA-000055,2024-02-22,VH-10264,IUB5476,GMC Sierra,74113,Average,0,6,Hybrid,Automatic,,87982,2023-11-04,2022-12-11,Leased,829,2,3,24.43,Worn Out,Needs Service,Weak,0,MaintenanceRiskModel
CA-000056,2024-12-19,VH-10233,LLZ9444,MV607,65250,GOOD,2,6,Electric,AUTO,5.3L,65327,2023-12-05,2025-10-15,Leased,3385,16,0,26.88,Worn Out,New,Weak,0,ConditionPortal
CA-000057,02/23/2025,,WNZ7258,Truck,20540,GOOD,1,2,Gas,,,28583,03/02/2024,2030-06-16,Second,3173,4,3,51.78,Worn Out,GOOD,WEAK,1,MaintenanceRiskModel
CA-000058,2024-03-09,VH-10317,XCW5305,Nissan NV200,196253,Good,0,9,Hybrid,Automatic,3.5L,212095,2023-05-05,2021-04-17,Second,4262,11,0,22.31,Worn Out,Needs Service,Weak,0,InspectionApp
CA-000059,2025-09-20,VH-10071,DCB2613,Van,158457,Average,0,10,Gas,Automatic,2500,177489,2024-08-11,2020-12-19,Pool,4381,6,2,23.69,Worn Out,Needs Service,WEAK,0,MaintenanceRiskModel
CA-000060,2024-05-15,VH-10370,BGN1223,Toyota Camry,268586,GOOD,2,14,EV,Automatic,5.3L,268658,2023-04-30,2015-12-10,Pool,4474,12,1,35.74,Worn Out,Good,Weak,0,ConditionPortal
CA-000061,2026-04-27,VH-10271,XHH0395,Nissan NV200,174271,Good,0,12,Electric,Automatic,Electric,174524,2025-11-14,2026-08-15,Second,2835,0,0,49.42,New,New,Replace,0,ConditionPortal
CA-000062,05/12/2024,VH-10090,EXJ8115,Explorer,229128,Poor,1,12,EV,Automatic,2000,253337,2023-11-06,2016-10-16,Pool,1570,8,3,16.05,Worn Out,GOOD,New,0,ConditionPortal
CA-000063,2025-10-25,VH-10141,PST6858,Ford Explorer,179176,Unknown,0,9,Diesel,Manual,,178967,07/11/2025,2027-05-21,Second,1489,8,2,35.12,Worn Out,Poor,WEAK,0,MaintenanceRiskModel
CA-000064,2025-09-22,VH-10124,UGT6120,NV200,96927,GOOD,1,12,Diesel,AUTO,3.5L,97192,2025-01-13,2020-04-26,Second,3695,20,2,28.97,GOOD,GOOD,New,0,ConditionPortal
CA-000065,2024-02-22,VH-10256,AZP6990,Nissan NV200,7450,Unknown,0,12,Hybrid,Automatic,,7411,2023-01-19,2017-12-09,,4243,1,0,25.03,Poor,Poor,Good,1,ConditionPortal
CA-000066,2025-08-15,VH-10326,ZWO9726,F-150,89363,Poor,1,5,Gas,AUTO,2.5L,89203,07/17/2025,10/10/2026,Pool,1894,4,3,20.43,New,Needs Service,Unknown,0,ConditionPortal
CA-000067,2024-10-09,VH-10252,IZQ8447,Chevrolet Silverado,19993,GOOD,0,2,Electric,Automatic,,38513,2024-02-01,2027-10-15,Second,4253,20,0,17.62,Worn Out,Good,Good,0,ConditionPortal
CA-000068,2025-12-30,,BNS2277,Ram 1500,43177,Unknown,3,2,EV,Manual,,68128,2025-11-11,2029-01-15,,1559,6,2,21.32,Worn Out,Needs Service,WEAK,0,InspectionApp
CA-000069,2025-03-06,VH-10187,FRA6247,Silverado,167690,Poor,2,13,Hybrid,Automatic,,180545,2024-12-15,2026-06-11,Second,901,10,2,52.93,New,Poor,Replace,0,ConditionPortal
CA-000070,09/16/2024,VH-10355,ZPD4871,Tacoma,74787,Unknown,1,8,Gas,Automatic,3.5L,81545,2024-01-10,2023-10-05,Pool,3364,16,3,35.67,New,Poor,WEAK,0,ConditionPortal
CA-000071,2024-07-07,,CFM2646,Truck,256008,GOOD,2,14,Electric,Manual,3.5L,256143,02/28/2024,07/16/2016,Second,3410,17,1,18.29,Good,Worn,Replace,0,MaintenanceRiskModel
CA-000072,2025-03-17,VH-10070,VBL7706,Camry,183482,Average,,11,DIESEL,AUTO,3.5L,190579,2024-03-24,2019-07-14,Leased,3594,7,0,29.91,New,GOOD,Weak,1,ConditionPortal
CA-000073,2024-07-28,VH-10065,RPO7917,Express,66946,GOOD,1,6,Gas,Automatic,2500,66797,2023-09-25,2023-10-27,Leased,1044,12,0,42.92,Worn Out,New,WEAK,0,MaintenanceRiskModel
CA-000074,2024-10-17,VH-10333,JIW8343,Sedan,31971,Average,2,3,EV,,2000,48839,2024-07-12,2027-09-25,Company,3026,11,0,31.39,Worn Out,New,Weak,0,MaintenanceRiskModel
CA-000075,2025-07-28,VH-10262,EIR9531,International MV607,103622,GOOD,2,5,Electric,Automatic,3.5L,103712,2024-06-06,2025-06-17,Company,4154,19,3,17.46,GOOD,Good,Unknown,1,ConditionPortal
CA-000076,2024-08-31,VH-10092,BHY6208,Ford Transit,143918,GOOD,1,8,Gas,Manual,2.5L,143998,2024-05-29,2022-05-29,Company,2375,12,0,46.73,Worn,Good,Weak,1,MaintenanceRiskModel
CA-000077,2026-03-22,VH-10245,TPL2204,Ford Transit,48849,Poor,3,4,Diesel,Automatic,2000,48611,2026-01-22,2028-03-03,Pool,2855,11,0,50.03,Worn,GOOD,Weak,1,MaintenanceRiskModel
CA-000078,2025-08-18,VH-10193,QBX5406,Chevrolet Silverado,140937,Poor,0,7,DIESEL,AUTO,2000,149301,2025-02-27,2022-06-03,Second,1733,0,0,38.33,Worn Out,Good,Unknown,1,InspectionApp
CA-000079,12/02/2024,VH-10160,YLG0207,Ford F-150,54605,Unknown,,4,Hybrid,AUTO,,54786,08/11/2024,2024-09-04,Second,3624,19,1,13.33,GOOD,Poor,Unknown,0,ConditionPortal
CA-000080,2024-02-23,VH-10171,BDL9893,Sedan,93275,Unknown,3,6,DIESEL,Automatic,2000,93105,01/08/2024,2025-04-05,Company,4006,8,0,25.8,New,GOOD,Unknown,0,MaintenanceRiskModel
CA-000081,2024-05-04,,EFK0811,Silverado,124924,Good,,11,Electric,AUTO,,124864,2024-03-29,2020-08-09,Pool,4234,2,0,12.78,Good,Poor,Weak,1,ConditionPortal
CA-000082,2024-03-20,VH-10208,TES6102,Toyota Camry,105235,Poor,2,9,diesel,AUTO,,105121,2023-12-25,2022-09-17,,2852,20,0,20.87,New,Needs Service,New,0,MaintenanceRiskModel
CA-000083,2024-07-06,VH-10143,EAZ6028,Sedan,40610,GOOD,0,2,Electric,Manual,Electric,48666,2023-06-28,2028-05-07,Company,2869,1,1,9.93,New,New,Good,0,MaintenanceRiskModel
CA-000084,2025-03-11,VH-10167,DZB3524,Tacoma,102676,Poor,3,12,EV,Manual,2500,125276,2024-02-17,2018-10-15,Second,1220,14,0,39.06,Worn,Good,Weak,1,InspectionApp
CA-000085,2024-08-21,,JEU2838,MV607,39388,Good,1,2,EV,Manual,Electric,60361,08/06/2023,06/18/2028,Second,2322,0,1,14.89,New,Good,New,0,InspectionApp
CA-000086,2024-06-13,VH-10385,JGJ8528,F-150,128838,Poor,0,6,EV,CVT,2000,128563,2024-01-30,2025-05-25,Pool,805,19,0,45.67,Worn Out,GOOD,Replace,0,ConditionPortal
CA-000087,2024-04-10,VH-10352,PQP6278,Truck,131937,Average,2,7,Hybrid,,Electric,132032,2023-12-25,2024-07-18,Pool,1666,15,0,31.98,Good,New,Good,1,ConditionPortal
CA-000088,2024-11-02,VH-10417,LHN8465,Freightliner M2,159921,GOOD,3,10,DIESEL,Manual,2000,159676,2024-04-10,2019-05-23,Pool,1586,18,3,17.96,New,Good,Good,0,MaintenanceRiskModel
CA-000089,2026-02-06,VH-10237,JXH0864,Civic,62759,Unknown,0,6,HYBRID,Automatic,3.5L,72907,2025-04-11,04/12/2024,Company,1602,0,0,45.31,GOOD,Good,Weak,1,InspectionApp
CA-000090,2025-09-12,VH-10188,DBW4917,Civic,194986,Poor,,11,Diesel,Manual,Electric,194976,2025-08-28,2020-04-14,Second,2591,2,0,17.8,Worn,Good,Weak,0,InspectionApp
CA-000091,2024-07-21,VH-10388,TSV3645,GMC Sierra,25593,Average,3,1,Electric,Manual,1.8L,25857,03/27/2024,02/08/2028,Pool,3275,8,0,44.15,GOOD,Worn,New,0,ConditionPortal
CA-000092,2025-12-17,VH-10379,OOI3784,Truck,55703,Average,3,3,Diesel,Automatic,2000,55673,2025-12-23,2028-08-16,Second,1524,10,3,47.73,Worn Out,Needs Service,WEAK,0,MaintenanceRiskModel
CA-000093,2024-09-16,VH-10169,KRH1494,Sedan,66269,GOOD,2,4,Diesel,AUTO,2500,71448,04/03/2024,2026-02-08,Pool,4410,15,0,14.01,Good,Good,WEAK,0,ConditionPortal
CA-000094,2026-03-03,VH-10071,DCB2613,Van,159787,Unknown,2,10,EV,Automatic,,159972,2026-03-01,2020-12-19,Leased,3188,20,2,20.4,GOOD,New,Unknown,0,InspectionApp
CA-000095,2024-01-20,VH-10277,QMP1828,Ram 1500,62044,GOOD,0,7,EV,Manual,Electric,75342,2023-11-15,09/27/2022,,3551,17,0,15.58,Worn Out,New,Good,0,MaintenanceRiskModel
CA-000096,2024-04-15,VH-10327,VGN5882,Tacoma,161478,Poor,1,13,DIESEL,AUTO,Electric,183387,2023-09-14,2019-01-11,Company,1477,6,2,17.79,New,Poor,Unknown,1,InspectionApp
CA-000097,2024-05-02,,TVI7781,Truck,77113,GOOD,0,4,Gas,,Electric,76814,2024-04-26,2028-08-17,Second,4421,6,3,20.36,GOOD,Good,Weak,0,InspectionApp
CA-000098,2025-07-28,VH-10272,TLC1726,Truck,235135,GOOD,2,12,Gas,Manual,3.5L,256622,2025-07-25,2018-06-12,Company,2621,5,3,11.17,New,GOOD,Weak,0,ConditionPortal
CA-000099,2025-06-24,VH-10206,AQZ8918,Toyota Prius,101236,Poor,,11,EV,Automatic,3.5L,101064,2024-05-17,2018-11-17,Company,1718,20,1,20.33,GOOD,GOOD,Unknown,1,MaintenanceRiskModel
CA-000100,2024-10-04,VH-10346,YZD2824,Van,74676,GOOD,2,4,Electric,AUTO,Electric,74664,02/05/2024,2027-06-24,,988,4,0,12.45,Worn Out,New,Unknown,0,InspectionApp
CA-000101,2025-12-20,VH-10333,JIW8343,Sedan,32599,GOOD,1,3,Hybrid,,3.5L,32824,2025-12-18,2027-09-25,Company,2142,8,1,14.81,Poor,GOOD,New,0,ConditionPortal
CA-000102,2026-03-28,VH-10227,WFT3459,Sierra,140507,Good,1,8,Gas,AUTO,3.5L,140372,2025-07-07,2021-06-17,Pool,2440,1,0,39.61,Poor,Poor,Good,0,ConditionPortal
CA-000103,2024-10-08,VH-10217,NKD5416,Dodge Ram 1500,63868,Unknown,1,3,EV,Automatic,6.7L,64003,2023-10-03,2028-02-03,Pool,3048,13,2,9.99,GOOD,Worn,Replace,0,MaintenanceRiskModel
CA-000104,2025-03-26,VH-10034,QTW3719,Ram 1500,91288,Unknown,1,10,Electric,Manual,3.5L,110429,2024-09-26,2020-07-27,Second,1835,5,1,31.09,Worn Out,New,Good,0,MaintenanceRiskModel
CA-000105,2025-08-24,VH-10016,XJK6295,Heavy Truck,111492,GOOD,1,6,Gas,Manual,2000,132312,2024-09-25,2026-02-03,Company,1900,16,3,22.67,Poor,Good,New,0,MaintenanceRiskModel
CA-000106,2024-07-22,VH-10365,TSD2513,Heavy Truck,296590,Poor,1,14,DIESEL,Automatic,3.5L,296387,2024-05-01,2015-06-26,Leased,4238,16,1,39.16,GOOD,Worn,WEAK,0,MaintenanceRiskModel
CA-000107,2024-12-01,,STH0365,Heavy Truck,106631,Unknown,1,5,DIESEL,Manual,3.5L,106792,2024-01-21,2025-11-19,Pool,4372,6,2,44.58,Worn,Good,New,0,MaintenanceRiskModel
CA-000108,2025-04-30,VH-10166,GBU2244,Toyota Tacoma,118526,Poor,2,12,Gas,Automatic,2000,118801,2024-09-18,2018-10-15,Leased,3814,17,0,50.88,Poor,Poor,WEAK,0,MaintenanceRiskModel
CA-000109,2026-02-02,VH-10418,WJS6336,MV607,36924,Good,0,3,Hybrid,Manual,2500,43070,2026-01-26,2029-05-27,Pool,3697,5,0,13.58,New,GOOD,Weak,0,MaintenanceRiskModel
CA-000110,2024-12-14,VH-10301,BNS3940,Truck,149494,Poor,1,13,Electric,Manual,,149598,09/21/2024,10/29/2018,,3441,12,2,30.29,Worn Out,Poor,Good,1,ConditionPortal
